label,duration,total_packets,total_bytes,throughput_bps,pkt_mean,pkt_std,iat_mean,iat_std,qoe_metric
ChatGPT,21.482157230377197,111,43432,2021.7708833535705,391.27927927927925,831.4119128626503,0.19529233845797453,1.0152875590199586,17.09
ChatGPT,23.507072925567627,77,21373,909.215709998224,277.57142857142856,744.7334296656728,0.30930359112588984,1.5463327456412357,17.962
ChatGPT,5.644087076187134,19,2090,370.2990353954462,110.0,116.75390222262607,0.3135603931215074,0.9067510474107566,12.751
ChatGPT,31.37789487838745,138,49618,1581.3042969359942,359.5507246376812,998.3901612564487,0.22903572903932445,0.5142174805490617,26.17
ChatGPT,19.32142996788025,131,47703,2468.916642262037,364.14503816793894,754.9745369765882,0.1486263843683096,0.5311472594444399,15.521
ChatGPT,25.958131074905396,92,40986,1578.9272302281636,445.5,882.777552117032,0.28525418763632304,1.1495938641480383,30.271
ChatGPT,19.355911016464233,26,10805,558.2274061297975,415.5769230769231,991.7485402861773,0.7742364406585693,1.579501224268388,13.205
ChatGPT,19.35818910598755,37,9993,516.215641106075,270.0810810810811,479.6589091234874,0.5377274751663208,1.5586140126777008,26.431
ChatGPT,7.854912042617798,8,939,119.54303178766857,117.375,80.15288126449354,1.1221302918025426,2.1075617503808677,2.97
ChatGPT,33.55889105796814,48,11752,350.19035580466937,244.83333333333334,435.3603073572765,0.7140189586801732,2.1133706914973165,32.684
ChatGPT,26.114063024520874,77,29709,1137.6628742951073,385.83116883116884,790.571310806345,0.34360609242790624,1.2293726413693489,26.243
ChatGPT,25.393609046936035,57,12629,497.3298587316717,221.56140350877192,424.93021171258266,0.45345730440957205,1.3034111305752256,22.229
ChatGPT,1.2862789630889893,6,1802,1400.9402716752131,300.3333333333333,431.9524150747266,0.25725579261779785,0.2200319526987281,2.687
ChatGPT,20.98034405708313,45,10330,492.3656147818277,229.55555555555554,433.2262716746709,0.47682600129734387,1.35601846710908,18.098
ChatGPT,8.974632024765015,3,431,48.024253118197905,143.66666666666666,88.18289075678015,4.487316012382507,4.186231970787048,15.94
ChatGPT,5.046117067337036,34,9597,1901.8583738614254,282.2647058823529,483.86898499147287,0.15291263840415262,0.348450973958611,15.503
ChatGPT,23.351981163024902,67,30306,1297.791386025352,452.32835820895525,853.4842965278814,0.3538178964094682,1.470682833125473,20.564
ChatGPT,41.13545513153076,79,22637,550.3038662783264,286.54430379746833,439.7657258209123,0.52737762989142,1.717000670968579,36.628
ChatGPT,34.441065073013306,49,16668,483.9571588353812,340.16326530612247,657.8471178680477,0.7175221890211105,2.2640295303723725,25.871
ChatGPT,4.418298959732056,44,21186,4795.058051319554,481.5,988.2631113588766,0.1027511385984199,0.2672006903762491,17.408
ChatGPT,40.63844704627991,101,38615,950.2085538855467,382.3267326732673,804.2405446393508,0.4063844704627991,1.8192354999738918,34.328
ChatGPT,14.062924861907959,33,9361,665.6510001952727,283.6666666666667,509.30770996946774,0.4394664019346237,1.2122639308052343,15.988
ChatGPT,11.602684020996094,13,2413,207.96912125103648,185.6153846153846,179.8882295980729,0.9668903350830078,2.965705044518316,20.326
ChatGPT,23.154709100723267,48,14590,630.1094061053983,303.9583333333333,613.6298748137095,0.49265338512177165,1.1959630129334407,21.034
ChatGPT,20.213948011398315,65,29030,1436.137066526067,446.61538461538464,943.0181610504677,0.3158429376780987,1.2687797132907037,18.361
ChatGPT,11.966488122940063,46,18506,1546.485469243355,402.30434782608694,746.0781189301251,0.265921958287557,0.8406939654236416,12.652
ChatGPT,23.720837116241455,84,21635,912.0673058029095,257.5595238095238,635.1633339091846,0.28579321826796933,1.6072308615442816,15.941
ChatGPT,25.25139808654785,63,33560,1329.035322518573,532.6984126984127,1043.8920554017134,0.4072806142991589,1.001168773464485,22.115
Video,140.34058690071106,29014,124478301,886972.9260008482,4290.284035293306,9329.573515921293,0.00483716219972809,0.08240650531428521,1770260899.869383
Video,128.76860690116882,54045,308101525,2392675.764804002,5700.833102044592,11979.122733817292,0.0023826624028785584,0.04344366648467438,1770261030.6858623
Video,128.855544090271,11311,78878651,612147.9021868147,6973.623110246663,14989.295813757783,0.011393063137954995,0.15441875801682034,1770261160.4783783
Video,129.6124210357666,42073,284866231,2197831.262803054,6770.7610819290285,13749.090498135818,0.0030807287753319692,0.051135562541051095,1770261291.002763
Video,125.38484501838684,5836,45592294,363618.8567550903,7812.25051405072,16006.156478443885,0.02148840531591891,0.39652355078474544,1770261424.527562
Video,127.20728898048401,24628,106690595,838714.4781960439,4332.0852281955495,10178.364134646152,0.00516535871119032,0.056175519256819025,1770261552.969936
Video,128.3936071395874,10550,78900779,614522.6445287138,7478.74682464455,15941.584579783332,0.012171163820228212,0.16476374281036582,1770261682.474408
Video,127.8209719657898,18126,144588720,1131181.5093903209,7976.868586560741,16287.01374794405,0.00705219155673323,0.06190124943463729,1770261812.1428485
Video,131.07733798027039,9787,78881539,601793.8738721805,8059.828241544907,16187.126727055786,0.013394373388541833,0.1920644955723684,1770261945.532519
Video,125.4390058517456,11842,46011894,366806.9089640326,3885.4833642965714,8050.080379807804,0.010593615898297914,0.3157651583082831,1770262076.6812198
Video,126.35162997245789,6261,45625800,361101.7919590393,7287.302347867752,14597.936747157888,0.020183966449274424,0.37584546820972065,1770262205.8962183
Video,137.0832760334015,37630,150524078,1098048.444387363,4000.1083709806007,8508.511715944087,0.003643022031768091,0.04126794494070617,1770262344.3490164
Video,128.34077286720276,6552,45633473,355564.8916593173,6964.815781440781,14692.404275346118,0.019591020129324187,0.3370847413375186,1770262474.99926
Video,129.3541669845581,8660,49683701,384090.45613452164,5737.14792147806,13602.698617200283,0.014938695806046669,0.06978472079536288,1770262605.6454654
Video,128.35399913787842,10713,49758485,387666.0278153797,4644.682628582096,10305.199046995742,0.011982262802266469,0.06339704982748844,1770262736.059854
Video,128.28961420059204,8023,49501857,385860.2062876229,6169.993393992272,14284.27445012356,0.01599222316138021,0.07973075404732638,1770262865.6252956
Video,127.22367882728577,8975,78824714,619575.8110957439,8782.697938718662,17774.20893635539,0.014176919860406258,0.1885037291305556,1770262996.1740367
Video,127.09416007995605,9727,78868892,620554.8071633101,8108.244268530893,16578.884016997683,0.01306746453628995,0.1699623174034412,1770263125.5948515
Video,125.00696301460266,7998,44861638,358873.1132901733,5609.107026756689,12259.760307975044,0.015631732276428993,0.3490748351726931,1770263255.6633584
Video,125.47876286506653,5836,45620092,363568.2322518395,7817.013708019192,15163.485011854858,0.021504500919462988,0.4734517807328702,1770263385.144298
Video,127.11194801330566,18003,151761484,1193919.8979478632,8429.788590790424,16466.30387949386,0.007060990335146409,0.07501268430748517,1770263513.1095817
